,Book_Name,Publishing_Year,Author,gross_sales,publisher_revenue,sale_price,Publisher_,units_sold,Master_Genre,Master_Sub_Genre,Trope_1,Trope_2,Trope_3,Trope_4,Trope_5,Trope_6,Trope_7,Trope_8
92,STARSHIP TROOPERS,1959.0,ROBERT A  HEINLEIN,7312.5,4387.5,7.5,HACHETTE BOOK GROUP,975,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,MILITARYFICTION,WAR,SPACEOPERA,SPACE,,AUDIOBOOK
93,THE AGE OF INNOCENCE,1920.0,EDITH WHARTON  MAUREEN HOWARD,1188.76,713.256,5.26,AMAZON DIGITAL SERVICES   INC ,6102,FICTION,ROMANCE,NOVELS,CLASSICS,HISTORICAL,LITERATURE,AMERICAN,NEWYORK,20THCENTURY,
94,ALL CREATURES GREAT AND SMALL,1972.0,JAMES HERRIOT,1024.29,0.0,5.99,AMAZON DIGITAL SERVICES   INC ,4617,NONFICTION,BIOGRAPHY,CLASSICS,ANIMALS,MEMOIR,HUMOR,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,BRITISH LITERATURE,AUDIOBOOK
95,ETHAN FROME,1911.0,EDITH WHARTON,405.53,243.318,3.79,HARPERCOLLINS PUBLISHERS,107,FICTION,ROMANCE,NOVELS,CLASSICS,LITERATURE,SCHOOL,HISTORICAL,AMERICAN,HIGHSCHOOL,READ FOR SCHOOL
96,THE INVENTION OF HUGO CABRET,2007.0,BRIAN SELZNICK,1686.62,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,338,FICTION,CHILDRENS,FANTASY,HISTORICAL,YOUNG ADULT,MIDDLE GRADE,GRAPHICNOVELS,MYSTERY,PICTURE BOOKS,
97,THE BIG SLEEP,1939.0,RAYMOND CHANDLER,126.72,76.032,0.99,AMAZON DIGITAL SERVICES   INC ,47088,FICTION,MYSTERY,NOVELS,CLASSICS,CRIME,NOIR,DETECTIVE,MYSTERY THRILLER,THRILLER,AMERICAN
98,THE SHIPPING NEWS,1993.0,ANNIE PROULX,1281.86,0.0,5.99,AMAZON DIGITAL SERVICES   INC ,5778,FICTION,LITERARY FICTION,ADULT,CONTEMPORARY,CANADA,LITERATURE,NOVELS,CLASSICS,AMERICAN,
99,CONTACT,1985.0,CARL SAGAN,1350.31,810.186,7.99,RANDOM HOUSE LLC,4563,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,SPACE,NOVELS,ALIENS,SPECULATIVEFICTION,,AUDIOBOOK
100,DUBLINERS,1914.0,JAMES JOYCE  JERI JOHNSON,397.67,238.602,2.99,RANDOM HOUSE LLC,51408,FICTION,LITERARY FICTION,HISTORICAL,CLASSICS,SHORT STORIES,IRELAND,LITERATURE,IRISHLITERATURE,20THCENTURY,SCHOOL
101,UNDER THE BANNER OF HEAVEN  A STORY OF VIOLENT FAITH,2003.0,JON KRAKAUER,648.45,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,655,NONFICTION,BIOGRAPHY,HISTORICAL,RELIGION,HISTORY,TRUE CRIME,CRIME,CULTS,JOURNALISM,AUDIOBOOK
102,AS I LAY DYING,1930.0,WILLIAM FAULKNER,461.68,277.008,1.99,HARPERCOLLINS PUBLISHERS,6264,FICTION,LITERARY FICTION,NOVELS,CLASSICS,LITERATURE,AMERICAN,SCHOOL,SOUTHERNGOTHIC,20THCENTURY,SOUTHERN
103,ORYX AND CRAKE,2003.0,MARGARET ATWOOD,7485.24,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,1876,FICTION,SCIENCE FICTION,FANTASY,DYSTOPIA,POSTAPOCALYPTIC,CANADA,SPECULATIVEFICTION,NOVELS,,AUDIOBOOK
104,BLOOD MERIDIAN  OR THE EVENING REDNESS IN THE WEST,1985.0,CORMAC MCCARTHY,725.88,435.528,5.26,PENGUIN GROUP  USA  LLC,53784,FICTION,HORROR,NOVELS,HISTORICAL,WESTERNS,CLASSICS,LITERATURE,AMERICAN,LITERARY FICTION,
105,SMALL GODS,1992.0,TERRY PRATCHETT,1220.4,732.24,10.8,HARPERCOLLINS PUBLISHERS,2889,FICTION,SCIENCE FICTION,FANTASY,HUMOR,COMEDY,RELIGION,NOVELS,HIGH,,AUDIOBOOK
106,GIRL  INTERRUPTED,1993.0,SUSANNA KAYSEN,2724.31,1634.586,1.99,HACHETTE BOOK GROUP,1369,NONFICTION,BIOGRAPHY,ADULT,MEMOIR,PSYCHOLOGY,MENTALHEALTH,MENTALILLNESS,CLASSICS,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY
107,THE JOY OF COOKING,1931.0,IRMA S  ROMBAUER  MARION ROMBAUER BECKER  ETHAN BECKER,1864.03,1118.418,8.59,HACHETTE BOOK GROUP,5859,NONFICTION,COOKBOOKS,CLASSICS,COOKING,FOOD,REFERENCE,CULINARY,FOODANDDRINK,FOODIE,HOWTO
108,HIGH FIDELITY,1995.0,NICK HORNBY,20309.55,12185.73,10.65,RANDOM HOUSE LLC,1907,FICTION,ROMANCE,ADULT,MUSIC,CONTEMPORARY,HUMOR,NOVELS,BRITISH LITERATURE,LITERATURE,COMEDY
109,THE LAST UNICORN,1968.0,PETER S  BEAGLE,343.85,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,2916,FICTION,CHILDRENS,FANTASY,CLASSICS,YOUNG ADULT,ADVENTURE,SCIENCE FICTION,MAGIC,UNICORNS,FAIRYTALES
110,THE MAN IN THE HIGH CASTLE,1962.0,PHILIP K  DICK,2280.46,1368.276,12.74,HACHETTE BOOK GROUP,4833,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,ALTERNATEHISTORY,DYSTOPIA,HISTORICAL,NOVELS,SPECULATIVEFICTION,
111,ANIMAL  VEGETABLE  MIRACLE  A YEAR OF FOOD LIFE,2007.0,BARBARA KINGSOLVER  STEVEN L  HOPP  CAMILLE KINGSOLVER  RICHARD A  HOUSER,823.35,494.01,4.99,AMAZON DIGITAL SERVICES   INC ,4455,NONFICTION,BIOGRAPHY,MEMOIR,FOOD,GARDENING,HEALTH,ENVIRONMENT,NATURE,COOKING,AUDIOBOOK
112,THE VIRGIN SUICIDES,1993.0,JEFFREY EUGENIDES,26904.06,16142.436,10.91,PENGUIN GROUP  USA  LLC,2466,FICTION,LITERARY FICTION,ADULT,CLASSICS,CONTEMPORARY,YOUNG ADULT,COMING OF AGE,NOVELS,MENTALHEALTH,LITERATURE
113,A NEW EARTH  AWAKENING TO YOUR LIFE S PURPOSE,2005.0,ECKHART TOLLE,483.12,289.872,0.99,AMAZON DIGITAL SERVICES   INC ,488,NONFICTION,SELFHELP,RELIGION,SPIRITUALITY,PHILOSOPHY,PSYCHOLOGY,PERSONALDEVELOPMENT,INSPIRATIONAL,NEWAGE,AUDIOBOOK
114,JONATHAN STRANGE   MR NORRELL,2004.0,SUSANNA CLARKE,5593.0,3355.8,7.99,HACHETTE BOOK GROUP,700,FICTION,SCIENCE FICTION,ADULT,FANTASY,HISTORICAL,MAGIC,ALTERNATEHISTORY,MAGICAL REALISM,,AUDIOBOOK
115,I AM LEGEND AND OTHER STORIES,1954.0,RICHARD MATHESON,621.92,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,5616,FICTION,HORROR,FANTASY,SCIENCE FICTION,VAMPIRES,SHORT STORIES,POSTAPOCALYPTIC,CLASSICS,DYSTOPIA,ZOMBIES
116,REVOLUTIONARY ROAD,1961.0,RICHARD YATES,735.64,441.384,6.94,PENGUIN GROUP  USA  LLC,106,FICTION,LITERARY FICTION,CONTEMPORARY,CLASSICS,HISTORICAL,NOVELS,AMERICAN,LITERATURE,20THCENTURY,MODERNCLASSICS
117,THE HOUSE OF MIRTH,1905.0,EDITH WHARTON  NINA BAWDEN,325.91,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,4240,FICTION,HISTORICAL,NOVELS,CLASSICS,LITERATURE,AMERICAN,NEWYORK,20THCENTURY,CLASSICLITERATURE,
118,THE WAY OF KINGS,2010.0,BRANDON SANDERSON,2178.0,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,2200,FICTION,SCIENCE FICTION,ADULT,FANTASY,EPICFANTASY,HIGH,MAGIC,EPIC,ADVENTURE,AUDIOBOOK
119,THE MAN WHO MISTOOK HIS WIFE FOR A HAT AND OTHER CLINICAL TALES,1985.0,OLIVER SACKS,1182.63,709.578,4.99,RANDOM HOUSE LLC,237,NONFICTION,SCIENCE,SHORT STORIES,PSYCHOLOGY,MEDICINE,NEUROSCIENCE,MEDICAL,ESSAYS,MENTALHEALTH,HEALTH
120,THE HOURS,1998.0,MICHAEL CUNNINGHAM,500.0,300.0,2.5,HARPERCOLLINS PUBLISHERS,5400,FICTION,LITERARY FICTION,CONTEMPORARY,HISTORICAL,LGBT,NOVELS,CLASSICS,LITERATURE,QUEER,
121,A CANTICLE FOR LEIBOWITZ,1959.0,WALTER M  MILLER JR ,106.92,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,108,FICTION,SCIENCE FICTION,FANTASY,POSTAPOCALYPTIC,CLASSICS,DYSTOPIA,RELIGION,SPECULATIVEFICTION,APOCALYPTIC,
122,THE ALIENIST,1994.0,CALEB CARR,1230.24,738.144,6.99,HARPERCOLLINS PUBLISHERS,4752,FICTION,MYSTERY,HISTORICAL,THRILLER,CRIME,MYSTERY THRILLER,HORROR,HISTORICALMYSTERY,SUSPENSE,
123,HYPERION,1989.0,DAN SIMMONS,470.25,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,475,FICTION,HORROR,FANTASY,SCIENCE FICTION,SPACEOPERA,TIMETRAVEL,SPACE,CLASSICS,,AUDIOBOOK
124,UNWIND,2007.0,NEAL SHUSTERMAN,524.7,314.82,0.99,MACMILLAN,530,FICTION,HORROR,FANTASY,YOUNG ADULT,DYSTOPIA,SCIENCE FICTION,TEEN,THRILLER,ADVENTURE,SURVIVAL
125,THE RED BADGE OF COURAGE,1871.0,STEPHEN CRANE,1186.92,712.152,10.99,PENGUIN GROUP  USA  LLC,108,FICTION,HISTORICAL,YOUNG ADULT,CLASSICS,WAR,LITERATURE,CIVILWAR,SCHOOL,AMERICAN,
126,GO  DOG  GO ,1961.0,P D  EASTMAN,1160.85,696.51,10.65,PENGUIN GROUP  USA  LLC,4280,FICTION,CHILDRENS,FANTASY,PICTURE BOOKS,CLASSICS,ANIMALS,DOGS,KIDS,POETRY,JUVENILE
127,THE COLOR OF WATER  A BLACK MAN S TRIBUTE TO HIS WHITE MOTHER,1996.0,JAMES MCBRIDE,151.47,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4131,NONFICTION,BIOGRAPHY,MEMOIR,RACE,AFRICANAMERICAN,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY,SCHOOL,BOOKCLUB,AUDIOBOOK
128,COLD SASSY TREE,1984.0,OLIVE ANN BURNS,950.81,570.486,7.99,RANDOM HOUSE LLC,42120,FICTION,HISTORICAL,ADULT,CLASSICS,SOUTHERN,COMING OF AGE,YOUNG ADULT,,,AUDIOBOOK
129,THE HISTORY OF LOVE,2005.0,NICOLE KRAUSS,977.55,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,245,FICTION,ROMANCE,ADULT,HISTORICAL,CONTEMPORARY,LITERARY FICTION,NOVELS,BOOKCLUB,LOVE,
130,SABRIEL,1995.0,GARTH NIX,8811.18,5286.708,19.98,RANDOM HOUSE LLC,441,FICTION,SCIENCE FICTION,FANTASY,YOUNG ADULT,MAGIC,HIGH,ADVENTURE,TEEN,,AUDIOBOOK
131,MOLOKA I,2003.0,ALAN BRENNERT,950.81,570.486,7.99,HARPERCOLLINS CHRISTIAN PUBLISHING,36720,FICTION,HISTORICAL,ADULT,BOOKCLUB,COMING OF AGE,NOVELS,CULTURAL,,,AUDIOBOOK
132,BLEAK HOUSE,1853.0,CHARLES DICKENS  NICOLA BRADBURY  HABLOT KNIGHT BROWNE,988.9,593.34,8.99,HARPERCOLLINS PUBLISHERS,4320,FICTION,MYSTERY,NOVELS,CLASSICS,LITERATURE,19TH CENTURY,VICTORIAN,HISTORICAL,BRITISH LITERATURE,CLASSICLITERATURE
133,CHILDHOOD S END,1953.0,ARTHUR C  CLARKE,1226.74,0.0,7.39,AMAZON DIGITAL SERVICES   INC ,4482,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,ALIENS,DYSTOPIA,NOVELS,SPECULATIVEFICTION,,AUDIOBOOK
134,PRODIGAL SUMMER,2000.0,BARBARA KINGSOLVER,260.69,156.414,1.99,SIMON AND SCHUSTER DIGITAL SALES INC,49896,FICTION,LITERARY FICTION,ADULT,NATURE,CONTEMPORARY,NOVELS,LITERATURE,ENVIRONMENT,,AUDIOBOOK
135,THE VAMPIRE LESTAT,1985.0,ANNE RICE,603.9,362.34,0.99,AMAZON DIGITAL SERVICES   INC ,610,FICTION,HORROR,ADULT,FANTASY,VAMPIRES,PARANORMAL,SUPERNATURAL,GOTHIC,URBAN,HISTORICAL
136,NORTH AND SOUTH,1854.0,ELIZABETH GASKELL  ALAN SHELSTON,562.59,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,58968,FICTION,ROMANCE,HISTORICAL,CLASSICS,19TH CENTURY,VICTORIAN,LITERATURE,HISTORICALROMANCE,,AUDIOBOOK
137,NINE STORIES,1953.0,J D  SALINGER,2154.6,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,540,FICTION,LITERARY FICTION,ADULT,SHORT STORIES,CLASSICS,LITERATURE,AMERICAN,20THCENTURY,THEUNITEDSTATESOFAMERICA,NOVELS
138,THE BLIND ASSASSIN,2000.0,MARGARET ATWOOD,1885.64,1131.384,7.99,HARPERCOLLINS CHRISTIAN PUBLISHING,236,FICTION,MYSTERY,CONTEMPORARY,HISTORICAL,CANADA,LITERARY FICTION,CLASSICS,LITERATURE,SCIENCE FICTION,
139,THINKING  FAST AND SLOW,2011.0,DANIEL KAHNEMAN,1157.31,694.386,0.99,AMAZON DIGITAL SERVICES   INC ,1169,NONFICTION,SELFHELP,PHILOSOPHY,PSYCHOLOGY,SCIENCE,BUSINESS,ECONOMICS,PERSONALDEVELOPMENT,UNFINISHED,AUDIOBOOK
140,THE STORY OF EDGAR SAWTELLE,2008.0,DAVID WROBLEWSKI,343.85,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,2943,FICTION,LITERARY FICTION,ADULT,ANIMALS,DOGS,CONTEMPORARY,COMING OF AGE,BOOKCLUB,HISTORICAL,NOVELS
141,ROLL OF THUNDER  HEAR MY CRY,1976.0,MILDRED D  TAYLOR,642.39,385.434,3.99,HACHETTE BOOK GROUP,4347,FICTION,CHILDRENS,YOUNG ADULT,HISTORICAL,CLASSICS,MIDDLE GRADE,SCHOOL,READ FOR SCHOOL,AFRICANAMERICAN,
142,FRINDLE,1996.0,ANDREW CLEMENTS  BRIAN SELZNICK,712.81,427.686,5.99,MACMILLAN,39960,FICTION,CHILDRENS,YOUNG ADULT,REALISTIC,MIDDLE GRADE,SCHOOL,HUMOR,CHAPTERBOOKS,JUVENILE,CONTEMPORARY
143,BECAUSE OF WINN DIXIE,2000.0,KATE DICAMILLO  CHRIS SHEBAN,1522.62,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,1538,FICTION,CHILDRENS,YOUNG ADULT,MIDDLE GRADE,REALISTIC,CLASSICS,ANIMALS,SCHOOL,DOGS,CHAPTERBOOKS
144,A GREAT AND TERRIBLE BEAUTY,2003.0,LIBBA BRAY,4966.39,2979.834,2.99,PENGUIN GROUP  USA  LLC,1661,FICTION,ROMANCE,FANTASY,YOUNG ADULT,HISTORICAL,PARANORMAL,MAGIC,TEEN,,
145,VOYAGER,1993.0,DIANA GABALDON,8171.67,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,2733,FICTION,ROMANCE,ADULT,HISTORICAL,FANTASY,TIMETRAVEL,HISTORICALROMANCE,SCOTLAND,,AUDIOBOOK
146,THE FIERY CROSS,2001.0,DIANA GABALDON,1141.14,684.684,4.62,PENGUIN GROUP  USA  LLC,247,FICTION,ROMANCE,ADULT,HISTORICAL,FANTASY,TIMETRAVEL,HISTORICALROMANCE,ADVENTURE,,AUDIOBOOK
147,THE MOON IS A HARSH MISTRESS,1966.0,ROBERT A  HEINLEIN,930.49,558.294,7.69,PENGUIN GROUP  USA  LLC,43416,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,POLITICS,SPACE,NOVELS,SPECULATIVEFICTION,,AUDIOBOOK
148,ARISTOTLE AND DANTE DISCOVER THE SECRETS OF THE UNIVERSE,2012.0,BENJAMIN ALIRE SÃ ENZ,1082.9,649.74,9.1,AMAZON DIGITAL SERVICES   INC ,38232,FICTION,ROMANCE,YOUNG ADULT,LGBT,CONTEMPORARY,QUEER,COMING OF AGE,REALISTIC,GAY,AUDIOBOOK
149,READING LOLITA IN TEHRAN  A MEMOIR IN BOOKS,2003.0,AZAR NAFISI,1072.85,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,5805,NONFICTION,BIOGRAPHY,MEMOIR,IRAN,BOOKSABOUTBOOKS,FEMINISM,HISTORY,BIOGRAPHYMEMOIR,WOMENS,AUTOBIOGRAPHY
150,BETWEEN SHADES OF GRAY,2011.0,RUTA SEPETYS,236.81,142.086,1.99,AMAZON DIGITAL SERVICES   INC ,40176,FICTION,ROMANCE,YOUNG ADULT,HISTORICAL,WAR,WORLDWARII,RUSSIA,TEEN,,AUDIOBOOK
151,WHEN BREATH BECOMES AIR,2016.0,PAUL KALANITHI  ABRAHAM VERGHESE,1041.39,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,261,NONFICTION,BIOGRAPHY,MEMOIR,MEDICINE,MEDICAL,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,PHILOSOPHY,SCIENCE,AUDIOBOOK
152,NEEDFUL THINGS,1991.0,STEPHEN KING,2772.0,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,2800,FICTION,MYSTERY,ADULT,HORROR,THRILLER,FANTASY,SUPERNATURAL,PARANORMAL,SUSPENSE,AUDIOBOOK
153,WOLF HALL,2009.0,HILARY MANTEL,2468.49,1481.094,7.69,PENGUIN GROUP  USA  LLC,321,FICTION,LITERARY FICTION,NOVELS,HISTORICAL,BRITISH LITERATURE,UNFINISHED,LITERATURE,TUDORPERIOD,,AUDIOBOOK
154,THE BEAN TREES,1988.0,BARBARA KINGSOLVER,1635.93,981.558,6.57,AMAZON DIGITAL SERVICES   INC ,249,FICTION,LITERARY FICTION,ADULT,CONTEMPORARY,NOVELS,CLASSICS,SCHOOL,LITERATURE,REALISTIC,
155,THE PASSAGE,2010.0,JUSTIN CRONIN,3172.05,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,795,FICTION,HORROR,FANTASY,SCIENCE FICTION,POSTAPOCALYPTIC,VAMPIRES,DYSTOPIA,THRILLER,APOCALYPTIC,PARANORMAL
156,WALK TWO MOONS,1994.0,SHARON CREECH,544.5,326.7,0.99,AMAZON DIGITAL SERVICES   INC ,550,FICTION,CHILDRENS,YOUNG ADULT,MIDDLE GRADE,REALISTIC,SCHOOL,CLASSICS,CONTEMPORARY,FAMILY,COMING OF AGE
157,MYSTIC RIVER,2001.0,DENNIS LEHANE,1096.78,658.068,8.99,RANDOM HOUSE LLC,43848,FICTION,MYSTERY,NOVELS,THRILLER,CRIME,MYSTERY THRILLER,SUSPENSE,DRAMA,DETECTIVE,AUDIOBOOK
158,ENDER S SHADOW,1998.0,ORSON SCOTT CARD,411.84,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,416,FICTION,SCIENCE FICTION,FANTASY,YOUNG ADULT,SPACE,ADVENTURE,WAR,DYSTOPIA,,AUDIOBOOK
159,THE GREAT DIVORCE,1945.0,C S  LEWIS,1428.57,857.142,9.99,PENGUIN GROUP  USA  LLC,3861,FICTION,FANTASY,FANTASY,CHRISTIAN,RELIGION,CLASSICS,THEOLOGY,CHRISTIANITY,FAITH,PHILOSOPHY
160,THE WESTING GAME,1978.0,ELLEN RASKIN,997.5,598.5,3.99,AMAZON DIGITAL SERVICES   INC ,250,FICTION,CHILDRENS,YOUNG ADULT,MYSTERY,MIDDLE GRADE,CLASSICS,MYSTERY THRILLER,SCHOOL,JUVENILE,REALISTIC
161,THE WHITE TIGER,2008.0,ARAVIND ADIGA,6711.6,4026.96,7.99,RANDOM HOUSE LLC,840,FICTION,LITERARY FICTION,CONTEMPORARY,INDIA,INDIANLITERATURE,NOVELS,ASIA,LITERATURE,BOOKCLUB,CRIME
162,IN DEFENSE OF FOOD  AN EATER S MANIFESTO,2007.0,MICHAEL POLLAN,618.45,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,4185,NONFICTION,SCIENCE,SCIENCE,FOOD,HEALTH,NUTRITION,COOKING,ENVIRONMENT,FOODIE,AUDIOBOOK
163,THE GOOSE GIRL,2003.0,SHANNON HALE,120.78,72.468,0.99,SIMON AND SCHUSTER DIGITAL SALES INC,44280,FICTION,ROMANCE,FANTASY,YOUNG ADULT,FAIRYTALES,RETELLINGS,MIDDLE GRADE,ADVENTURE,CHILDRENS,
164,INFERNO,1320.0,DANTE ALIGHIERI  ANTHONY M  ESOLEN,354.22,212.532,1.99,HACHETTE BOOK GROUP,4806,FICTION,MYSTERY,ADULT,THRILLER,MYSTERY THRILLER,HISTORICAL,SUSPENSE,ADVENTURE,CRIME,NOVELS
165,JAWS,1974.0,PETER BENCHLEY,1227.54,736.524,4.99,SIMON AND SCHUSTER DIGITAL SALES INC,246,FICTION,HORROR,ADULT,THRILLER,CLASSICS,ADVENTURE,SUSPENSE,ANIMALS,NOVELS,AUDIOBOOK
166,SHUTTER ISLAND,2003.0,DENNIS LEHANE,4270.65,2562.39,10.65,PENGUIN GROUP  USA  LLC,401,FICTION,MYSTERY,ADULT,THRILLER,HORROR,MYSTERY THRILLER,SUSPENSE,CRIME,PSYCHOLOGICALTHRILLER,NOVELS
167,THE EYRE AFFAIR,2001.0,JASPER FFORDE,111.87,67.122,0.99,AMAZON DIGITAL SERVICES   INC ,2862,FICTION,MYSTERY,ADULT,FANTASY,HUMOR,SCIENCE FICTION,BOOKSABOUTBOOKS,TIMETRAVEL,ALTERNATEHISTORY,
168,A LONG WAY GONE  MEMOIRS OF A BOY SOLDIER,2007.0,ISHMAEL BEAH,3643.44,0.0,7.99,AMAZON DIGITAL SERVICES   INC ,456,NONFICTION,BIOGRAPHY,MEMOIR,AFRICA,WAR,HISTORY,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY,SCHOOL,SIERRALEONE
169,THE MALTESE FALCON,1930.0,DASHIELL HAMMETT,846.94,508.164,7.99,HACHETTE BOOK GROUP,106,FICTION,MYSTERY,NOVELS,CLASSICS,CRIME,NOIR,DETECTIVE,MYSTERY THRILLER,THRILLER,AUDIOBOOK
170,THE JUNGLE BOOK,1894.0,RUDYARD KIPLING,113.85,68.31,0.99,AMAZON DIGITAL SERVICES   INC ,2916,FICTION,CHILDRENS,FANTASY,CLASSICS,ADVENTURE,SHORT STORIES,ANIMALS,YOUNG ADULT,INDIA,LITERATURE
171,THE LITTLE ENGINE THAT COULD,1930.0,WATTY PIPER  DORIS HAUMAN  GEORGE HAUMAN,593.81,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,37152,FICTION,CHILDRENS,FANTASY,PICTURE BOOKS,CLASSICS,TRAINS,KIDS,TRANSPORT,JUVENILE,INSPIRATIONAL
172,THE ABSOLUTELY TRUE DIARY OF A PART TIME INDIAN,2007.0,SHERMAN ALEXIE  ELLEN FORNEY,10384.0,6230.4,6.49,RANDOM HOUSE LLC,1600,FICTION,CONTEMPORARY,YOUNG ADULT,REALISTIC,HUMOR,COMING OF AGE,SCHOOL,TEEN,BANNEDBOOKS,AUDIOBOOK
173,STONES FROM THE RIVER,1994.0,URSULA HEGI,787.2,472.32,6.15,AMAZON DIGITAL SERVICES   INC ,47304,FICTION,LITERARY FICTION,ADULT,HISTORICAL,GERMANY,WORLDWARII,HOLOCAUST,WAR,BOOKCLUB,
174,LULLABY,2002.0,CHUCK PALAHNIUK,1094.63,656.778,7.99,HACHETTE BOOK GROUP,53352,FICTION,MYSTERY,ADULT,HORROR,CONTEMPORARY,FANTASY,NOVELS,THRILLER,AMERICAN,DARK
175,PYGMALION,1912.0,GEORGE BERNARD SHAW,331.89,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,4360,FICTION,ROMANCE,CLASSICS,PLAYS,DRAMA,THEATRE,SCHOOL,LITERATURE,BRITISH LITERATURE,HUMOR
176,THE LONG WALK,1979.0,RICHARD BACHMAN  STEPHEN KING,462.84,277.704,3.99,HACHETTE BOOK GROUP,31320,FICTION,HORROR,ADULT,DYSTOPIA,THRILLER,SCIENCE FICTION,FANTASY,SUSPENSE,NOVELS,AUDIOBOOK
177,BATMAN  THE DARK KNIGHT RETURNS,1986.0,FRANK MILLER  KLAUS JANSON  LYNN VARLEY,1949.31,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,1969,FICTION,FANTASY,FANTASY,COMICS,GRAPHICNOVELS,BATMAN,COMICBOOK,GRAPHICNOVELSCOMICS,DCCOMICS,SUPERHEROES
178,THE WOMAN IN WHITE,1859.0,WILKIE COLLINS  MATTHEW SWEET,768.46,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,4158,FICTION,MYSTERY,HISTORICAL,CLASSICS,GOTHIC,HORROR,19TH CENTURY,VICTORIAN,LITERATURE,MYSTERY THRILLER
179,THE DAY OF THE JACKAL,1971.0,FREDERICK FORSYTH,171.27,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4671,FICTION,MYSTERY,NOVELS,THRILLER,CRIME,ESPIONAGE,HISTORICAL,SUSPENSE,MYSTERY THRILLER,CLASSICS
180,THE WORLD IS FLAT  A BRIEF HISTORY OF THE TWENTY FIRST CENTURY,2005.0,THOMAS L  FRIEDMAN,544.18,326.508,2.99,HACHETTE BOOK GROUP,4914,NONFICTION,SCIENCE,HISTORY,BUSINESS,ECONOMICS,POLITICS,TECHNOLOGY,SOCIOLOGY,EDUCATION,SOCIETY
181,CUJO,1981.0,STEPHEN KING,7774.0,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,2600,FICTION,HORROR,ADULT,THRILLER,SUSPENSE,ANIMALS,FANTASY,NOVELS,DOGS,AUDIOBOOK
182,AMERICANAH,2013.0,CHIMAMANDA NGOZI ADICHIE,2992.5,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,750,FICTION,ROMANCE,CONTEMPORARY,AFRICA,FEMINISM,LITERARY FICTION,RACE,NIGERIA,NOVELS,AUDIOBOOK
183,LONE SURVIVOR  THE EYEWITNESS ACCOUNT OF OPERATION REDWING AND THE LOST HEROES OF SEAL TEAM 10,2006.0,MARCUS LUTTRELL  PATRICK ROBINSON,446.88,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,4440,NONFICTION,BIOGRAPHY,MEMOIR,MILITARYFICTION,HISTORY,WAR,MILITARYHISTORY,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,AUDIOBOOK
184,PEOPLE OF THE BOOK,2008.0,GERALDINE BROOKS,1291.92,775.152,7.69,PENGUIN GROUP  USA  LLC,4536,FICTION,MYSTERY,ADULT,HISTORICAL,BOOKSABOUTBOOKS,BOOKCLUB,JEWISH,RELIGION,,AUDIOBOOK
185,THE HOT ZONE  THE TERRIFYING TRUE STORY OF THE ORIGINS OF THE EBOLA VIRUS,1994.0,RICHARD   PRESTON,349.83,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,32616,NONFICTION,SCIENCE,THRILLER,HISTORY,MEDICAL,MEDICINE,HORROR,HEALTH,BIOLOGY,AFRICA
